image_path,caption_text,sku_id,sku_name,variant,size_text,brand_name,category_name,caption_id,model_name,prompt_version,created_at,is_ground_truth,keywords,colors,shapes,materials,packaging,taste,texture,is_primary,ocr_text
1_a3070bbfcc7a49a889485673a17b042e.png,"Đây là hình ảnh gói bánh quế Cozy vị lá dứa của Kinh Đô, trọng lượng tịnh 117,6g.  Bánh được quảng cáo là giòn ngon.",1,Bánh quế Cosy,,,,Bánh kẹo,15,gemini-1.5-flash,v1,2025-09-16 11:09:38.987062+00:00,False,[],[],[],[],[],[],[],True,
1_3d7b201b372c4174843a6ec9f6219e58.jpg,Ảnh chụp cận cảnh bánh quế Cosy vị kem sô cô la. Bánh được trình bày cùng với hình ảnh sô cô la tan chảy.,1,Bánh quế Cosy,,,,Bánh kẹo,471,gemini-2.0-flash-exp,v1.0,2025-11-02 05:02:56.500969+00:00,False,"[""bánh quế"", ""cosy"", ""sô cô la"", ""bánh kẹo""]","[""nâu"", ""trắng"", ""đỏ""]","[""ống trụ""]","[""bột mì"", ""kem sô cô la""]","[""gói""]","[""sô cô la"", ""ngọt""]","[""giòn"", ""xốp""]",False,
1_a3070bbfcc7a49a889485673a17b042e.png,Ảnh chụp cận cảnh bánh quế Cosy kem vị lá dứa đóng gói trong bao bì màu đỏ và xanh lá.,1,Bánh quế Cosy,,,,Bánh kẹo,329,gemini-2.0-flash-exp,v1.0,2025-10-04 12:16:39.009711+00:00,False,"[""bánh quế"", ""cosy"", ""kem vị lá dứa""]","[""đỏ"", ""xanh lá"", ""trắng""]","[""ống tròn""]","[""bột mì"", ""kem""]","[""gói""]","[""lá dứa"", ""ngọt""]","[""giòn""]",True,
1_f30fe886529b4cffa92c928cc5470997.jpg,"Bánh quế Cosy vị kem xoài xí muội, sản phẩm của Kinh Đô.",1,Bánh quế Cosy,,,,Bánh kẹo,416,gemini-2.0-flash-exp,v1.0,2025-10-05 07:18:31.907775+00:00,False,"[""bánh quế"", ""cosy"", ""xoài xí muội"", ""kinh đô""]","[""đỏ"", ""vàng"", ""trắng""]","[""ống tròn""]","[""bột mì"", ""kem""]","[""gói""]","[""xoài"", ""xí muội"", ""ngọt""]","[""giòn"", ""mềm""]",False,
1_b7ec4d798c014957b443aac2cd409f05.jpg,Ảnh chụp cận cảnh gói bánh quế Cosy kem vị lá dứa của Kinh Đô.,1,Bánh quế Cosy,,,,Bánh kẹo,472,gemini-2.0-flash-exp,v1.0,2025-11-02 05:03:01.061055+00:00,False,"[""bánh quế"", ""cosy"", ""kinh đô"", ""lá dứa""]","[""đỏ"", ""xanh lá"", ""trắng""]","[""ống tròn""]","[""bột mì"", ""kem""]","[""gói""]","[""lá dứa"", ""ngọt""]","[""giòn""]",False,
3_fa980065c7e543eda904c9e875732834.jpg,Hộp bánh Choco Pie Orion với 12 gói nhỏ bên trong. Bánh có lớp vỏ socola và nhân kem.,3,Bánh ChocoPn,,,,Bánh kẹo,418,gemini-2.0-flash-exp,v1.0,2025-10-05 07:18:50.673978+00:00,False,"[""bánh choco pie"", ""orion"", ""bánh socola"", ""bánh ngọt""]","[""đỏ"", ""nâu"", ""trắng"", ""vàng""]","[""tròn""]","[""socola"", ""bột mì""]","[""hộp giấy""]","[""socola"", ""ngọt""]","[""mềm"", ""xốp""]",False,
3_4451f437d3234645aae5f4090939bd65.jpg,"Hình ảnh bánh Choco-Pie Orion với lớp phủ sô cô la và nhân marshmallow, cùng với bao bì sản phẩm.",3,Bánh ChocoPn,,,,Bánh kẹo,420,gemini-2.0-flash-exp,v1.0,2025-10-05 07:18:57.670085+00:00,False,"[""choco-pie"", ""bánh"", ""orion"", ""sô cô la"", ""marshmallow""]","[""nâu"", ""trắng"", ""đỏ""]","[""tròn""]","[""bột mì"", ""sô cô la"", ""marshmallow"", ""giấy""]","[""gói""]","[""ngọt"", ""sô cô la""]","[""mềm"", ""xốp""]",False,
3_836ad79412964175b2df3afaa3e3d59c.png,"Hình ảnh chụp gói bánh Choco Pie, loại bánh phủ socola với lớp kem ở giữa.  Gói bánh có in dòng chữ ""Số 1"" và dòng chữ ""Lựa chọn hàng đầu"".",3,Bánh ChocoPn,,,,Bánh kẹo,17,gemini-1.5-flash,v1,2025-09-16 11:09:45.713305+00:00,False,[],[],[],[],[],[],[],True,
3_836ad79412964175b2df3afaa3e3d59c.png,Đây là một gói bánh ChocoPN phủ sô cô la. Bánh có lớp kem ở giữa.,3,Bánh ChocoPn,,,,Bánh kẹo,330,gemini-2.0-flash-exp,v1.0,2025-10-04 12:16:43.031966+00:00,False,"[""bánh"", ""choco pn"", ""sô cô la"", ""bánh quy""]","[""đỏ"", ""nâu"", ""trắng"", ""vàng""]","[""tròn""]","[""sô cô la"", ""bột mì"", ""kem""]","[""gói""]","[""sô cô la"", ""ngọt""]","[""mềm"", ""xốp""]",True,
3_9ee78dc434fd46f3980a5b06a699b28a.jpg,"Ảnh chụp cận cảnh một gói bánh Choco PN màu đỏ. Gói bánh có hình ảnh bánh sô cô la và dòng chữ ""Ngọt ngào ngày vui"".",3,Bánh ChocoPn,,,,Bánh kẹo,419,gemini-2.0-flash-exp,v1.0,2025-10-05 07:18:53.927409+00:00,False,"[""bánh"", ""choco pn"", ""sô cô la"", ""đồ ăn vặt"", ""bánh quy""]","[""đỏ"", ""nâu"", ""trắng"", ""đen""]",[],"[""nilon""]","[""gói""]","[""sô cô la"", ""ngọt""]","[""mềm"", ""xốp""]",False,
4_d8a308ea3b1a461eb8310fd6fdd0b1b7.png,Đây là gói bánh Nabati vị phô mai.  Bánh được quảng cáo là sản phẩm bán chạy nhất thế giới của hãng.,4,Bánh Nabati (phô mai),,,,Bánh kẹo,18,gemini-1.5-flash,v1,2025-09-16 11:09:48.629300+00:00,False,[],[],[],[],[],[],[],True,
